frame,cap_ms,pnp_ms,upload_ms,swap_ms,found,t_x,t_y,t_z,r_x,r_y,r_z,reproj_mean,reproj_median,reproj_max
72,3051.975,3051.975,3068.947,3071.953,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
73,3084.600,3084.600,3100.910,3105.009,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
74,3119.661,3119.661,3135.792,3138.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
75,3152.736,3152.736,3168.092,3171.837,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
76,3182.974,3182.974,3198.068,3199.640,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
77,3218.857,3218.857,3235.477,3238.872,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
78,3251.107,3251.107,3266.747,3268.383,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
79,3283.995,3283.995,3302.020,3305.384,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
80,3319.038,3319.038,3335.965,3338.477,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
81,3351.415,3351.415,3367.553,3371.747,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
82,3385.328,3385.328,3402.869,3405.387,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
83,3419.288,3419.288,3435.929,3438.542,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
84,3449.485,3449.485,3466.838,3468.464,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
85,3483.091,3483.091,3499.031,3500.679,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
86,3517.814,3517.814,3534.285,3538.459,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
87,3551.900,3551.900,3569.073,3572.594,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
88,3584.936,3584.936,3601.937,3605.615,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
89,3617.022,3617.022,3633.123,3634.775,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
90,3651.518,3651.518,3668.192,3671.972,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
91,3684.102,3684.102,3701.149,3705.097,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
92,3719.375,3719.375,3734.266,3738.431,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
93,3754.076,3754.076,3771.082,3772.688,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
94,3784.421,3784.421,3801.826,3805.527,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
95,3819.729,3819.729,3835.261,3838.693,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
96,3851.140,3851.140,3868.900,3871.904,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
97,3885.806,3885.806,3902.810,3905.482,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
98,3917.123,3917.123,3934.119,3939.220,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
99,3953.283,3953.283,3970.295,3972.521,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
100,3984.019,3984.019,4000.456,4005.351,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
101,4018.275,4018.275,4033.260,4034.866,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
102,4046.503,4046.503,4063.626,4065.234,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
103,4084.438,4084.438,4102.019,4105.306,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
104,4117.213,4117.213,4134.048,4138.380,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
105,4153.528,4153.528,4168.940,4171.866,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
106,4184.973,4184.973,4202.300,4205.269,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
107,4220.904,4220.904,4235.832,4238.388,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
108,4254.903,4254.903,4272.167,4273.622,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
109,4289.634,4289.634,4305.513,4306.995,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
110,4320.809,4320.809,4337.974,4339.469,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
111,4357.453,4357.453,4375.383,4377.007,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
112,4387.232,4387.232,4405.068,4406.554,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
113,4419.271,4419.271,4437.054,4439.168,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
114,4454.808,4454.808,4472.820,4474.312,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
115,4489.074,4489.074,4507.100,4508.713,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
116,4526.720,4526.720,4544.683,4546.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
117,4564.457,4564.457,4583.693,4588.732,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
118,4595.296,4595.296,4614.818,4616.485,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
119,4630.247,4630.247,4647.889,4649.674,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
120,4660.926,4660.926,4680.547,4682.211,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
121,4691.466,4691.466,4710.064,4711.758,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
122,4730.378,4730.378,4750.001,4751.620,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
123,4763.596,4763.596,4785.857,4788.813,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
124,4795.738,4795.738,4814.534,4816.219,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
125,4828.983,4828.983,4846.581,4848.227,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
126,4862.669,4862.669,4880.857,4882.503,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
127,4895.647,4895.647,4915.028,4916.741,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
